Address,Name,Subsystem,Status,Description
0x001e8518,Weather_ImmediateWeatherStateUpdater,Weather,partial,"Called on weather state transitions (not periodically). Resets weather object fields, sets cloud parameters, then calls"
0x001e9e68,Fish_AcFsFdShadow_StateHit_Update,Item,done,"Ticks reel-in reaction timer. If player fails to press A before timer expires, fish transitions to Escape state."
0x001ea010,Fish_AcFsFdShadow_StatePick_Update,Item,done,"Evaluates 20%-per-nibble bite formula: P(Bite) = nibble_count * 20%. Nudges bobber on fail, bites on success."
0x001eb5e4,Fish_AcFsFdShadow_StateHit_Enter,Item,done,"Submerges bobber underwater, triggers splash SFX, and computes frame reel-in reaction window (seconds * 30.0)."
0x001eb920,Fish_AcFsFdShadow_StatePick_Enter,Item,done,Enters Pick state: orients fish shadow towards detected player fishing bobber.
0x001ebc08,Fish_AcFsFdShadow_StateEscape_Enter,Item,done,Increases swimming speed by 3x and plots escape trajectory away from player before entity despawn.
0x001ec774,Fish_AcFsFdShadow_UpdateSwimmingAI,Item,done,12-state fish AI state machine dispatch and Euclidean player-distance check for running footstep spooking.
0x001f4b0c,Actor_AcObjectBase_Draw,Actor,done,Draw dispatch: invokes model component draw (+0x18) and renders dynamic ground shadow ellipse via FUN_006EE3CC.
0x001f4b94,Actor_AcObjectBase_UpdatePhysics,Actor,done,"Velocity integration (pos += vel), ground elevation clamping via Town_SampleFlatGroundHeight, and affine model transform calculation."
0x001f4cc4,Actor_AcObjectBase_Init,Actor,done,"Two-phase initialization of world entity: calculates acre coordinates (X/Z / 256), samples terrain elevation, registers in spatial acre grid."
0x001f4de8,Actor_AcObjectBase_Update,Actor,done,"Per-frame entity tick: resets visual offset, executes behavior state machine (+0x60), updates physics/movement (+0x64), and calls post-update hook (+0x50)."
0x001f4ebc,Actor_AcObjectBase_BuildMatrix,Actor,done,Constructs 4x3 affine transform matrix from position Vector3 and applies XYZ Euler rotation angles via trigonometric LUT.
0x001f50c0,Actor_AcObjectBase_Dtor,Actor,done,Deleting destructor for AcObjectBase. Invokes Actor_Actor_Dtor and deallocates instance memory via operator delete.
0x00200d34,Town_FieldFactory_CreateBuilderForState,Town,done,"Master factory dispatcher (dFieldFactory.cpp) that instantiates the appropriate FieldBuilder (VillagePrologueBuilder, MuseumBuilder, CampNpcBuilder, etc.) based on game state flags."
0x00229684,Weather_UpdateRainParticles,Weather,done,Updates rain particle simulation state
0x0022a9c8,Weather_UpdateSnowParticles,Weather,done,Updates snow particle simulation state
0x0022eba4,Time_PeriodicTimerCheck,Time,flagged,Address does not resolve in Ghidra (re-audit 2026-09-07) - was: Timer/tick-based check function. Uses SVC 0x28 (GetSystemTick) and divides by 0x1a/0x5a constants. Calls FUN00300fdc onl
0x00244884,Time_SetdatetimebgConstructor,Time,partial,Constructor for the SetDateTimeBg UI screen - the in-game date/time settings screen. Sets up UI components: input fields
0x0024f314,Insect_AcInsectFieldBase_LoadSpeciesParams,Item,done,Loads 80-byte (0x50) physics and behavior record from table 0x0086773C for insect species (0..71).
0x002526a0,Fish_BsFishFieldMgr_SelectAndSpawnFish,Item,done,Queries cumulative probability table for river/ocean based on current time/date and spawns fish species.
0x00253a08,Fish_BsFishFieldMgr_TickSpawns,Item,done,Enforces 8-fish maximum concurrency in town (river + ocean < 8) and ticks spawn timer.
0x00253f54,Fish_BsFishFieldMgr_AllocateFishSlot,Item,done,"Packs 6-byte state into one of 8 active fish slots ('T'..'['), packing 10-bit world X/Z coordinates."
0x002554a4,Fish_BsFishFieldMgr_UpdateFishLoop,Item,done,Main update tick for fish manager: processes active fish pool and checks player bobber proximity.
0x002663f0,Weather_UpdatePaperParticles,Weather,done,Updates confetti/paper particle simulation state
0x0027c2cc,Town_GenerateTownOptions_Main,Town,partial,Master town generation driver. Loads sea_side templates from RomFS and loops Rover generator until 4 valid layouts are found (internal validation criteria unconfirmed, see functions/ audit note).
0x0027c56c,Town_LoadVillageTemplateResources,Town,partial,Async resource loader: loads Bg/Outdoor/Textures/GrassBaldness.bcres and then kicks off async loads of TemplateData/vill
0x0027c8fc,Town_GenerateTownLayout_4Options,Town,partial,"Generates candidate town seed. 3-state layout generator with internal validation counters; exact semantics of validation counts (villagers/plaza/hall) unconfirmed by bytes, see functions/ audit note."
0x0028de1c,Save_DispatchSaveWriteStateMachine,Save,partial,"State machine dispatcher with a save write path. At case 1, calls FUN00300fdc to access the save buffer - likely the wri"
0x002960d0,Weather_UpdateSakuraParticles,Weather,done,Updates cherry blossom sakura particle simulation
0x002abfe0,Insect_BsInsectFieldMgr_CheckWeatherDespawn,Item,done,Checks rain and snow weather flags; automatically despawns flying ('A') and ground ('F'/'G') insects.
0x002acb7c,Insect_BsInsectFieldMgr_UpdateBugLoop,Item,done,Main update tick for insect manager: manages 12 concurrent slots ('H'..'S') and updates active bug AI.
0x002b32f4,Town_InitBsMenuMapVillage,Town,partial,State machine (states 0-10) that loads and initialises the Town Map menu screen (Nook's Homes / Town Hall bulletin board
0x002b385c,Town_LookupTownMapPane,Town,partial,"Looks up the single named layout pane ""Pmp00"" within the loaded mapvillage.arc layout (state 8 of FUN002b32f4's init sta"
0x002c28b4,Insect_AcInsectFieldFly_CheckNetCatchOverlap,Item,done,Evaluates player bug net swing collision sphere against insect collision radius.
0x002c2d94,Insect_AcInsectFieldFly_UpdateAltitude,Item,done,Adjusts flying bug flight altitude relative to sampled terrain elevation and flower attachment.
0x002ca040,Town_VillageIslandTemplateResourceLoader,Town,partial,"Larger sibling of FUN0027c56c: same grass-baldness/village-template setup, then loops 18 times (uVar15 <= 0x11, i.e. ind"
0x002cd508,Save_ReadExhibitionFile,Save,done,Thin wrapper. Reads /exhibition.dat into the buffer pointed to by param1.
0x002d457c,Town_ConstructFieldTownObject,Town,partial,C++ placement constructor for a POD (no vtable) sub-object inside the FUN005ca4f4 save-buffer construction chain. Called
0x002f72bc,Time_HandleStateTransition,Time,partial,"Handles state transitions for a game object. Checks active state via vtable calls, updates state tracking fields at offs"
0x002f744c,Core_FlushPendingStateTransition,Core,partial,"Flushes a pending state transition in a state slot object. If a transition is pending (+4 != 0), processes it and resets"
0x002f7510,Core_ReleaseVtableObject,Core,partial,"Releases an object stored in a slot by calling its destructor via vtable +0x10, then nulls the pointer. Identical patter"
0x002f753c,Core_DirtyFlagCheckAndClear,Core,done,Checks and clears dirty flag pair in state machine
0x002f755c,Core_GetStateIndex,Core,partial,"Returns the current state index of a global game object. This is a simple getter - no logic, no RNG. The byte at offset"
0x002f7574,Core_CheckStateFlag,Core,partial,"Checks whether specific bits (defined by mask) are set in a static flag table, at position index. Returns 1 if the flags"
0x002f7740,Core_DestructorBackwardIterator,Core,done,Generic backward iterator that calls a function pointer on each element from last to first. Used as the destructor patte
0x002faec0,Core_ErrorAbortHandler,Core,done,c int FUN002faec0(void) { FUN00606c24(); FUN006064bc(); return DAT002faedc + 0x80; }
0x002fb34c,Save_GetSaveBufferPointer,Save,done,c undefined4 FUN002fb34c(void) { return DAT002FB358; }
0x002fb39c,Time_GetTimeSingletonPrimary,Time,partial,Returns the global time object pointer stored at DAT002FB3A4. This is a singleton getter - the actual object is initiali
0x002fb860,Core_GetSmallMapStateObject,Core,done,"c int FUN002fb860(void) { FUN00606c24(); FUN006064bc(); // pre-check, same as FUN00300fdc pattern return DAT002fb880 + 0"
0x002fd108,Core_HeapAllocate,Core,done,"Core heap allocator operator new(size, heap, align) delegating to sead::Heap::alloc."
0x002fd4a0,Time_CalculateSignedPeriodDelta,Time,partial,"Converts two time objects to 64-bit millisecond timestamps via FUN001296BC, subtracts them, and divides by a period leng"
0x002ff304,Save_ConstructPlayerSubStruct640B,Save,partial,Zero-initialises and constructs a 640-byte (0x280) save sub-struct. Called 10+1 times per player region by FUN006f4234.
0x002ffd1c,Town_ProcessFloraTileGrid,Town,done,"Scans 16x16 tile grid of an acre: advances sapling stages 0..3, wilts unwatered flowers, breeds hybrids."
0x00300fdc,Save_GetSaveBufferWithPreCheck,Save,partial,Second getter for the gardenplus.dat runtime buffer. Calls FUN006064bc as a pre-flight check before returning the buffer
0x00301ebc,Town_CheckVillagerSlotValidity,Town,done,Called from FUN005c9a24 (villager slot reader) as the per-slot gate that decides whether a villager slot is occupied/val
0x00303d80,Player_ConstructPlayerTailObject,Player,in_progress,Initialises a different-typed object at offset +0x1b80 within the player region. Called once per player by FUN006f4234 a
0x00304f70,Save_Thunk_AllocateAndConstructSaveBuffer,Save,done,Thunk redirecting to Save_AllocateAndConstructSaveBuffer (0x005c9dd4)
0x0030601c,Core_ReadGameStateFlag,Core,partial,Reads a single byte from the main game state object at a fixed offset. Used as a condition gate in FUN0062eee8 - if resu
0x00308f5c,Time_NormalizeDate,Time,done,Normalizes a date object in-place. Called by FUN0062EF1C on both the input date and the current time before comparison.
0x0030c2c8,Weather_Thunk_ResolveWeatherType_Alt,Weather,done,Thunk redirecting to weather type calculation
0x00312a5c,Time_DateOffsetCalculator,Time,partial,Adds signed offsets (year/month/day/hour) to a date struct in-place. Uses 64-bit arithmetic internally for overflow hand
0x0031872c,Time_ShiftDateMinus6Months,Time,partial,"The ""normal path"" period calculator. Copies the input date, shifts it back by 6 months via FUN00312a5c, then falls throu"
0x00319340,Save_CalculateCrc32_SaveBuffer,Save,done,"Takes (buffer_ptr, size, initial_crc=0xffffffff). Used across all save-buffer integrity checks."
0x0032c96c,Insect_AcInsectFieldFlyPursue_Dtor,Item,done,Destructor for wasp / bee swarm pursuer entity spawned from shaken trees.
0x0047dac0,Save_DecryptSaveXor,Save,partial,"Processes a buffer using a 256-entry XOR lookup table. Applied to gardenplus.dat after raw read, before parsing. Returns"
0x0056a74c,Time_PeriodicTimeUpdater,Time,done,Periodically updates the global time singleton object at DAT0056a928 → 0x00AD46B0. This is the function that keeps the i
0x0056aa90,Time_ConvertHardwareRtcToGameDate,Time,partial,"NOT renamed in Ghidra as of 2026-09-07 audit (still FUN_0056aa90) despite done status here. Real decompile calls Time_JulianDaySubFieldCalculator/ConvertTicksToDate/ConvertTicksToWallClock - plausible but unconfirmed RTC link, no direct SVC call visible."
0x0056abe0,Time_GetEpochDate2012,Time,partial,"NOT renamed in Ghidra as of 2026-09-07 audit (still FUN_0056abe0) despite done status here. Body not re-verified this pass."
0x0056ac80,Time_GetSeasonPeriodIndex,Time,done,Returns a period index (0-22) representing where the current date falls within the annual season calendar. Used by FUN00
0x0056bbd4,Time_NormalizeYearRange_2050Limit,Time,done,This function is the direct source of the 2050 date limit.
0x0056bfd8,Time_Check6AmDailyRolloverBoundary,Time,partial,"FABRICATED description (audited 2026-09-07): NOT renamed in Ghidra (still FUN_0056bfd8). Real decompile has nothing to do with hour/6AM - it validates year>=2012 and month/day fields then calls Core_ErrorAbortHandler on failure. See systems/time-engine.md audit note."
0x0056c288,Time_SetPlayerTimeTravelOffset,Time,partial,"NOT renamed in Ghidra as of 2026-09-07 audit (still FUN_0056c288) despite done status here. Real decompile plausibly matches (writes offset, clamps [2012,2050] via NormalizeYearRange_2050Limit) but 'title screen settings' origin is inferred, not confirmed from callers."
0x0056c344,Save_ReadClockHeaderRecord,Save,partial,"NOT renamed in Ghidra as of 2026-09-07 audit (still FUN_0056c344) despite done status here. Body not re-verified this pass."
0x005b2fe0,Weather_MapStateIndexToWeatherType,Weather,done,Converts a raw state index (from FUN002F755C) into a weather type integer used by the record index formula in FUN001E63D
0x005c96a0,Core_IncrementNonZero64BitCounter,Core,done,"Increments a 64-bit counter (DAT005c96dc as {uint32 lo; uint32 hi;}) by 1, with special-case logic to skip the value 0 o"
0x005c9760,Save_LoadLazySaveResource,Save,partial,c void FUN005c9760(void) { puVar1 = DAT005c97b4; // struct ptr if (DAT005c97b4[1] == 0) { // lazy-init check: not yet lo
0x005c9a24,Town_ReadVillagerSlots,Town,partial,"Iterates over all 10 villager slots in the save buffer. For each slot, reads a uint16 field at offset +0x2c and writes i"
0x005c9d64,Save_GetGardenPlusBufferPointer,Save,done,Trivial getter. Returns the current runtime pointer to the gardenplus.dat in-memory buffer.
0x005c9dd4,Save_AllocateAndConstructSaveBuffer,Save,partial,"Allocates the runtime save buffer, constructs C++ objects in-place, then initializes their fields. Paired with FUN0012cc"
0x005ca2c4,Town_ResetSaveBuffer_AllSubObjects,Town,partial,"Resets TownAcres, playable grids, villager array, and player slots to default values. [audit 2026-09-07: one call was misattributed, list was non-exhaustive — see functions/005CA2C4_*.md]"
0x005ca4f4,Save_SaveObjectMasterConstructor,Save,partial,The primary C++ object constructor for the gardenplus.dat buffer. Called from FUN005c9dd4 with param1 = buffer + 0x80. C
0x005ccdc8,Save_SaveBufferSubRegionConstructor,Save,partial,"Initialises the C++ object region immediately after the 167,936-byte raw data block in the save buffer. Called from FUN0"
0x006064bc,Save_PreCheckSaveBuffer,Save,in_progress,Called by FUN00300fdc immediately before returning the save buffer pointer. Purpose unknown - likely an assertion or val
0x006079b8,Core_UiRenderingFunction,Core,partial,Performs rendering or UI operations using a sub-object at param1 + 0x18. Calls FUN00300fdc but discards the return value
0x00611d34,Town_SetDefaultAcreId_109,Town,done,Sets uint16 acre ID to 0x109. Called for all 42 entries in the 7x6 TownAcres grid.
0x00612820,Town_InitTownGridAndAcres,Town,done,SOLVED TOWN ACRES RUNTIME HANDLER. Initializes 7x6 TownAcres (0x53484) and 5x4 playable acres.
0x0061494c,Weather_GetWeatherPatternData,Weather,partial,Returns a pointer to the global weather data source object. The object contains weather pattern records of size 0x8C (14
0x0062e084,Weather_Thunk_ResolveWeatherType,Weather,partial,Not a thunk (audited 2026-09-07) - full duplicate of the 52x24 weather-type table lookup in FUN0062E094 but using current time singleton instead of explicit date param
0x0062e094,Weather_ResolveWeatherType_52x24,Weather,partial,Resolves weather type byte from a 52x24 lookup table indexed by period index (0-51) and normalised hour (0-23). Called t
0x0062ebc4,Weather_GetPrecipitationRateForType,Weather,done,Returns base precipitation particle density float from 7-entry LUT for weather type (0-6).
0x0062ebe0,Weather_GetWindSpeedForType,Weather,done,Returns base wind speed float from 7-entry LUT for weather type (0-6).
0x0062eee8,Weather_ResolvePeriodIndexFromDate,Weather,done,Computes the current weather period index from a date object and stores it in the singleton DAT002FB358. Always terminat
0x0062ef1c,Weather_ResolveWeatherPeriodIndex,Weather,partial,"Given a date object (param1), resolves and returns a period index used by the weather table lookup system (FUN0062E094)."
0x0062efd4,Weather_ResolveIslandWeatherWeekIndex,Weather,done,"Resolves weather row for Tortimer Island using 3-day cyclic table [4, 21, 33] indexed by JulianDay % 3."
0x0068b9bc,Player_AcPlayer_Draw,Player,done,"Renders player character model, applies texture swaps for facial expressions, and projects dynamic circular shadow with radius scaled by 13.0f."
0x0068C0EC,Player_UpdateMovementPhysics,Player,done,Snaps player vertical elevation to town heightmap resolves collision against obstacles and updates physics
0x006a0c58,Npc_BsNpcMgr_UpdateVillagers,Npc,done,"Manager tick iterating over town's 10 villager slots: updates wander pathfinding, home/outdoor presence, and interaction state."
0x006a3578,Core_DispatchCroModule,Core,done,Dispatches .cro dynamic modules based on current game state flags. Called during scene transitions. Reads state via FUN0
0x006a506c,Town_InitializeCurrentStateField,Town,done,"Initializes the active field/world map for current state transition, invoking Town_FieldFactory_CreateBuilderForState and setting active field pointers."
0x006c478c,Town_CheckTileAllowsFloraGrowth,Town,done,Queries terrain tile collision type against soil bitmask DAT_0095cd1a to test if trees/flowers can grow.
0x006d0eac,Core_GetStateTransitionContext,Core,partial,"Simple one-liner getter. [audit 2026-09-07: prior doc's pointer-offset pattern and caller layout claims did not match live decompile — see functions/006D0EAC_*.md]"
0x006e1d70,Core_NetworkSessionObjectHandler,Core,partial,Reads fields from a large object at param1 (offsets 0x2768-0x27c6) and interacts with network-layer functions. Calls FUN
0x006eed70,Town_InitPlayableAcreTileGrid,Town,done,Initializes 16x16 tile grid (0x400 bytes) for a playable acre. Stride row*0x40 + col*4 (4B/tile)
0x006f4234,Save_PlayerRegionSubObjectInitializer,Save,done,Initialises the array of 10+1 sub-structs within a player's save region. Called once per player in FUN005c9dd4's 4-playe
0x006f7c54,Core_GetStateSubObjectFlag4000,Core,done,Returns a state-specific sub-object if bit 0x4000 is set for the given state index. Used in FUN005B2FE0 to handle weathe
0x0070d894,Town_UiStringBuilderForSaveFileLabels,Town,partial,"[audit 2026-09-07: prior /garden.dat string-source claim did not match live decompile — see functions/0070D894_*.md]"
0x0071ee44,Save_SaveBufferErrorAbort,Save,done,"Calls FUN00300fdc (result unused) then immediately calls the non-returning FUN002faec0. This is an error/abort path, not"
0x0071f3ec,Core_ReadStructArrayLevelField,Core,done,"Reads a single byte from a struct array: field +0x36 of element param2. Used to check ""level"" values for state sub-objec"
0x00756c34,Save_SerializeSaveBuffer_CalculateChecksums,Save,done,"Calls CalculateSubObjectChecksums across all save regions, then updates small map state."
0x00756c54,Save_DeserializeSaveBuffer_ValidateChecksums,Save,done,Calls ValidateSubObjectChecksums to verify CRC32 of all save sub-objects on load.
0x00756f20,Town_CalculateSubObjectChecksums,Town,done,Calculates CRC32 over 0x1E4D8 bytes of Field/Town data and writes it to buffer + 0x53424.
0x00756f90,Save_ValidateSubObjectChecksums,Save,done,Verifies that stored CRC32 at buffer + 0x53424 matches recalculated CRC32 over 0x1E4D8 bytes.
0x0076dfac,Save_VerifySaveFileCrc32,Save,partial,"Verifies the CRC32 checksum of a save-file buffer. [audit 2026-09-07: length was wrongly claimed to be a variable-per-filetype DAT_ symbol; it's a hardcoded 0x25f8c at this call site — see functions/0076DFAC_*.md]"
0x007b0ba0,Core_GetAppServicePointer,Core,done,Fetches APT service handle for App module
0x005D3734,System_GetLanguageIndex,System,done,Resolves hardware region (Japan=0 USA=1 Europe=2) and language to return game language index (0..9) for MSBT localization
0x00159A30,Msg_MsbtFile_Init,Script,done,Initializes MSBT (Message Studio Binary Text) parser validating MsgStdBn magic BOM and mapping LBL1 TXT2 ATR1 ATO1 TSY1 sections
0x001599A8,Msg_MsbfFile_Init,Script,done,Initializes MSBF (Message Studio Binary Flow) parser validating MsgFlwBn magic BOM and mapping FLW3 FEN1 REF1 sections
0x00159AF0,Msg_MsbpFile_Init,Script,done,Initializes MSBP (Message Studio Binary Project) parser validating MsgPrjBn magic and resolving CLR1 CLB1 CTI1 sections
0x00159C74,Msg_Header_ParseSections,Script,done,Parses 32-byte MSB header validates BOM 0xFEFF and loads 16-byte aligned section descriptors
0x00159F08,Msg_FindSectionByTag,Script,done,Searches section table by 4-byte FourCC tag (LBL1 TXT2 FLW3 FEN1) returning section index or 0xFFFFFFFF
0x00159718,Msg_GetSectionDataPtr,Script,done,Returns bounds-checked pointer to raw data within an MSB section given relative byte offset
0x00159DE4,Msbt_CalculateLabelHash,Script,done,Computes multiplicative hash (accumulator * 1170 + char) modulo bucket count for LBL1 label lookup
0x001598AC,Msbt_FindStringIndexByLabel,Script,done,Searches LBL1 label hash bucket for matching key string and returns 32-bit string index or 0xFFFFFFFF
0x00159804,Msbt_GetStringByIndex,Script,done,Retrieves pointer to UTF-16LE text string from TXT2 section by 0-based string index
0x00159848,Msbt_GetStringByLabel,Script,done,Convenience lookup combining label hash search and TXT2 pointer extraction returning UTF-16 string
0x00159750,Msbt_GetLabelNameByIndex,Script,done,Performs reverse lookup in LBL1 table finding label key string corresponding to given string index
0x005B07B8,Msg_MsbtWrapper_Load,Script,done,Allocates wrapper descriptor and binds MSBT binary buffer pointer
0x005B0854,Msg_MsbfWrapper_Load,Script,done,Allocates wrapper descriptor and binds MSBF binary buffer pointer
0x005B0870,Msg_MsbfWrapper_Destroy,Script,done,Releases MSBF wrapper descriptor and clears buffer references
0x005B0898,Msg_MsbfWrapper_Clear,Script,done,Zeroes out internal wrapper buffer and state fields
0x00523378,Msg_LoadSwkbdMsbt,Script,done,Loads software keyboard localized text swkbd.msbt and style RI.mstl based on active language index
0x00159634,Msbf_FindEntryPointNode,Script,done,Looks up entry point name in FEN1 hash table and returns root node index for flowchart execution
0x005F305C,FlowSeq_ExecuteActionNode,Script,done,Executes Type 2 action node in MSBF flowchart invoking receiver hook and advancing next node
0x005F2A4C,FlowSeq_StepBranchNode,Script,done,Evaluates boolean condition in MSBF branch node and transitions to appropriate destination node
0x005F2AFC,FlowSeq_StepMultiBranchNode,Script,done,Evaluates multi-way choice table in MSBF flow resolving player dialogue choice index to target node
0x005F29A4,FlowSeq_StepToNextNode,Script,done,Advances sequential MSBF flowchart node index or flags flow sequence completion
0x005F2614,FlowSeq_ExecuteMessageNode,Script,done,Unpacks Type 1 message node binds dialogue string and opens villager text box with emotion animation
0x00600EE4,TalkEngine_ResetDialogueBuffer,Script,done,Resets active dialogue state machine clears string buffers and closes speech window
0x00601664,TalkEngine_LoadActiveDialogue,Script,done,Loads localized UMSBT file for active villager personality selects language stream and binds to talk state
0x001E5218,Shop_AddSpendingAndCheckUpgrade,Shop,done,Deducts purchase amount from remaining upgrade quota and evaluates spending and days-open thresholds from 0x0088E5E4 and 0x0088E5F8 to advance store tier
0x001E5494,Shop_RecordPurchase,Shop,done,Records store spending transaction updates save buffer and triggers town persistence
0x001E4EC8,Shop_ApplyTierUpgrade,Shop,done,Applies store upgrade sets new tier index resets renovation timer and reallocates daily inventory slots
0x001E5628,Shop_PostRenewalBbsNotice,Shop,done,Formats and posts store renovation and renewal announcement on town bulletin board using BBS_Kodanuki strings
0x001E42BC,Shop_Turnip_CalculateNextPriceTime,Shop,done,Calculates target timestamp for 9:00 AM morning and 12:00 PM afternoon turnip price shifts
0x001E423C,Shop_Turnip_CheckPriceExpiry,Shop,done,Checks if current in-game time has crossed turnip price period boundary and triggers price re-evaluation
0x001E4370,Shop_Catalog_CopyPlayerRecord,Shop,done,Copies 640-byte (0x280) catalog record including 386-byte unlocked item bitmask and recent orders
0x001E4454,Shop_Catalog_CompactPlayerRecords,Shop,done,Scans and compacts active player catalog records across up to 80 storage slots in save file
0x001E4718,Shop_InitDailyStock,Shop,done,Initializes daily floor display items and marks purchased items with sold out sign 0x2083
0x001E4CF4,Shop_BuyDisplayItem,Shop,done,Processes floor item purchase decrements daily stock count and places 0x2083 or 0x2086 sold out marker
0x0056C548,RecycleShop_InitDailyPremiumItem,Shop,done,Selects daily premium double-price item for Re-Tail and binds STR_Recycle_High to exterior chalkboard
